Metabolite,baseMean,FC,log2FC,Test,Stat,pvalue,adj_pvalue,Significant,Direction,abs_log2FC,neg_log10_adj_pval,Colour
NEG.454.0929@5.5803256,167813.38202247192,2.2329866568434276,1.158974630397587,Mann-Whitney U,2570.0,1.2026945281608297e-09,6.640331606997066e-08,True,Up,1.158974630397587,7.177810232154123,red
POS.121.0497@2.175997,2261588.954954955,0.03541101911853315,-4.819657825116876,Mann-Whitney U,518.0,1.7346626067102906e-09,9.295750792429853e-08,True,Down,4.819657825116876,7.031715527695063,blue
POS.201.0308@2.177999,41892.2,0.025451316969697012,-5.296115879780514,Mann-Whitney U,520.0,1.865734529960027e-09,9.71248089596334e-08,True,Down,5.296115879780514,7.012669822428956,blue
POS.121.0503@2.175997,2267705.7837837837,0.035427847849151296,-4.81897236167842,Mann-Whitney U,520.0,1.865734529960027e-09,9.71248089596334e-08,True,Down,4.81897236167842,7.012669822428956,blue
NEG.278.1627@3.6637828,29593.46153846154,0.4941173259221435,-1.0170744509948446,Mann-Whitney U,521.0,1.9348403313349586e-09,9.930363616034633e-08,True,Down,1.0170744509948446,7.00303484883129,blue
POS.392.1216@5.588993,32746.86813186813,2.831028344390591,1.5013261936474163,Mann-Whitney U,2553.0,2.2370655781650605e-09,1.1166941050456823e-07,True,Up,1.5013261936474163,6.952065776467713,red
NEG.439.1451@5.5795827,237239.8901098901,2.3182633711656027,1.2130444760468835,Mann-Whitney U,2550.0,2.49344043472158e-09,1.2114795925500584e-07,True,Up,1.2130444760468835,6.9166838971827245,red
NEG.422.1555@5.5796385,1762412.076923077,2.0262057460868594,1.0187806765024794,Mann-Whitney U,2549.0,2.585093503972697e-09,1.2233871075943518e-07,True,Up,1.0187806765024794,6.912436100534419,red
POS.343.2201@3.2540016,115965.78378378379,2.007743985668879,1.0055753180170286,Mann-Whitney U,2547.0,2.7783472405632096e-09,1.2815566259002956e-07,True,Up,1.0055753180170286,6.892262199645391,red
POS.376.1506@5.588993,1140124.021978022,2.7817694866895186,1.4760028748807137,Mann-Whitney U,2545.0,2.985642435185085e-09,1.359960129226806e-07,True,Up,1.4760028748807137,6.866473823916997,red
POS.371.1952@5.588993,1060977.5274725275,2.682242347195056,1.4234395941778453,Mann-Whitney U,2539.0,3.7020108446793985e-09,1.6059675616680628e-07,True,Up,1.4234395941778453,6.794263231118881,red
NEG.178.1353@5.57965,199895.94505494504,2.207947918307804,1.1427061418238567,Mann-Whitney U,2539.0,3.7020108446793985e-09,1.6059675616680628e-07,True,Up,1.1427061418238567,6.794263231118881,red
POS.191.0736@2.177998,20849.772151898735,0.026546642220186066,-5.235326797997206,Mann-Whitney U,544.0,4.424169588632309e-09,1.7914361319219628e-07,True,Down,5.235326797997206,6.746798670639541,blue
NEG.934.2793@5.5803084,38829.057471264365,3.108831184425348,1.6363722776616536,Mann-Whitney U,2530.0,5.099673414617185e-09,1.9981946153618303e-07,True,Up,1.6363722776616536,6.699362215678782,red
POS.171.1257@3.3049946,37875.41176470588,2.3470922126395592,1.2308745236269243,Mann-Whitney U,2525.0,6.085648790080851e-09,2.26286777459741e-07,True,Up,1.2308745236269243,6.6453408222893815,red
POS.322.1876@7.137989,71560.12612612612,2.1778443790664483,1.1229008679343568,Mann-Whitney U,2525.0,6.085648790080851e-09,2.26286777459741e-07,True,Up,1.1229008679343568,6.6453408222893815,red
NEG.730.3176@5.579965,348266.8977272727,4.604542491923549,2.2030578170282187,Mann-Whitney U,2523.0,6.529945353695282e-09,2.3795120868865607e-07,True,Up,2.2030578170282187,6.623512084832526,red
POS.366.1218@3.0100038,52981.90909090909,2.95231513341236,1.561846724496514,Mann-Whitney U,2513.0,9.269129987478499e-09,3.2477605456126585e-07,True,Up,1.561846724496514,6.488415998381809,red
NEG.866.292@5.5800986,62923.44827586207,3.3414993055880324,1.740495574374174,Mann-Whitney U,2508.0,1.1029387720145964e-08,3.620818815514585e-07,True,Up,1.740495574374174,6.4411932065806505,red
POS.153.115@3.303994,71230.46078431372,2.3600435196148495,1.2388134633810288,Mann-Whitney U,2504.0,1.266765808638195e-08,4.0139953101544197e-07,True,Up,1.2388134633810288,6.396423139266382,red
POS.348.175@3.2529957,208866.95495495494,2.030789353205321,1.0220406016002297,Mann-Whitney U,2504.0,1.266765808638195e-08,4.0139953101544197e-07,True,Up,1.0220406016002297,6.396423139266382,red
